id,name,age,num_dep,edu
7,Kari Ball,38,2,2
61,Julia Ramsey,24,1,3
91,Roger Tate,25,0,3
139,Katelyn Rowe,28,1,2
153,Richard Mills,33,1,5
161,Kristy Hernandez,44,1,2
173,Gregory Jordan,21,0,1
183,Jordan Mcdaniel,25,0,2
185,Rachel Mckinney,29,0,6
189,Garrett Franklin,26,2,2
207,Claudia Burns,41,1,1
217,Jack Moss,44,0,3
219,Troy Adams,23,1,2
223,Carla Chandler,28,1,4
272,Kelli Fowler,31,2,2
276,Chase Washington,27,0,2
278,Maria Bradley,27,1,5
284,Brent Thompson,39,2,2
292,Steven Diaz,18,2,2
302,Latoya Willis,31,2,3
306,Monica Hines,38,0,2
352,Russell Gregory,22,0,5
356,Deborah Knight,29,0,5
392,Barbara Foster,25,2,1
394,Julia Carter,18,0,2
396,Keith Parker,34,2,2
424,Ryan Evans,39,0,1
434,Kenneth Gutierrez,41,2,2
450,Jordan Johnson,30,0,5
470,Ross Rodriguez,18,1,2
484,Luis Riley,44,1,3
508,Lisa Russell,21,2,6
523,Adrian Ramirez,40,2,2
539,Thomas Joseph,25,0,1
555,Regina Obrien,24,2,2
569,Brent Jimenez,38,0,6
571,Meagan Ingram,42,1,2
583,Kristin Mckinney,37,3,6
591,Brandy Townsend,37,1,1
609,Ian Payne,20,0,2
649,Brendan Thomas,36,2,1
659,Anthony Hamilton,39,2,4
683,Joseph Stephens,40,2,1
705,Miguel Jackson,22,2,5
707,Caroline Nguyen,26,2,2
715,Latasha Bowen,37,2,2
725,Raymond Anderson,20,2,4
737,Derek Rodriguez,19,0,5
763,Billy Ingram,39,0,2
768,Deborah Rodriquez,33,1,1
778,Kathryn Carroll,42,1,3
780,Brandi Miller,37,1,2
818,Vincent Day,34,0,5
824,Keith Guzman,36,2,4
834,Reginald Nguyen,42,3,2
840,Manuel Ramirez,33,2,1
844,Luke Lee,44,0,1
848,Tracy Henderson,37,3,1
860,Caroline Bradley,39,2,3
878,Charles Blair,31,2,4
884,Lee Edwards,27,0,6
934,Brendan Burke,22,2,5
938,Zachary Nelson,44,1,2
958,Taylor Webb,40,1,2
970,Kristen Salazar,25,2,2
1008,Nina Davis,42,3,3
1018,Ricky Guzman,34,0,5
1045,Garrett Sims,41,3,2
1047,Adam Campbell,40,2,2
1051,Carl Reeves,40,2,6
1055,Kathleen Little,43,2,5
1061,Ronald Ryan,28,0,2
1075,Laura Hansen,21,0,1
1087,Joanna Carlson,27,1,1
1089,Bethany Wade,18,1,2
1131,Kristi Bailey,22,1,2
1173,Vanessa Vega,31,3,3
1181,Austin Hale,22,0,1
1183,Randall Pena,37,2,3
1197,Spencer Perkins,31,3,1
1199,Alicia Hanson,28,0,3
1201,Mario Taylor,31,2,3
1227,Cameron Miles,33,0,3
1229,Adam Gordon,22,1,3
1231,Michele Lawrence,20,1,1
1233,Tonya Perez,34,3,2
1249,Donald Richards,42,1,3
1273,Erin Webster,20,1,2
1318,Regina Boyd,42,1,1
1364,Jack Moss,32,3,3
1372,Christina Phillips,20,0,2
1380,Audrey Hale,44,1,5
1416,Jacqueline Hammond,21,2,3
1420,Danny Coleman,20,1,2
1436,Drew Norman,19,1,1
1438,Hannah Chapman,26,1,2
1446,James Mccoy,39,0,1
1448,Megan Hansen,42,0,6
1480,Tara West,19,2,4
1496,Louis Harper,40,3,5
1502,Sean Carpenter,37,3,4
1504,Laura Martin,32,0,2
1508,Erik Boyd,20,1,3
1514,Keith Cunningham,31,2,4
1534,Whitney Love,33,2,1
1537,Brandy Page,29,1,3
1543,Tammy Roberts,24,1,1
1593,Jennifer Allen,24,0,3
1599,Clinton Cox,33,2,1
1601,Benjamin Baldwin,41,2,2
